filename,caption
test_100.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""cardigan"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""three-quater sleeves""
      ],
      ""collar"": [
        ""V-neck""
      ],
      ""waist"": [
        ""mid-rise waist""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""shorts"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""short""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""skirt hems"": [
        ""slit hem""
      ]
    }
  }
}
```"
test_1112.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""vest"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""hip-length""
      ],
      ""sleeves"": [
        ""sleeveless""
      ],
      ""collar"": [
        ""collarless""
      ],
      ""waist"": [
        ""mid-rise waist""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""pants"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""full length""
      ],
      ""pant legs"": [
        ""flared legs""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""waist"": [
        ""button closure""
      ]
    }
  }
}
```"
test_1121.png,"```json
{
  ""wholebody_garment"": {
    ""garment_name"": ""dress"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""long""
      ],
      ""sleeves"": [
        ""sleeveless""
      ],
      ""waist"": [
        ""natural waist""
      ],
      ""dress"": [
        ""maxi dress"",
        ""loose dress""
      ],
      ""skirt hems"": [
        ""straight hem""
      ],
      ""collar"": [
        ""square neck""
      ],
      ""hood"": [
        ""no hood""
      ]
    },
    ""extra_details"": ""side slit""
  }
}
```"
test_114.png,"```json
{
  ""wholebody_garment"": {
    ""garment_name"": ""dress"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""midi""
      ],
      ""sleeves"": [
        ""three-quater sleeves"",
        ""short sleeves""
      ],
      ""collar"": [
        ""V-neck""
      ],
      ""waist"": [
        ""natural waist""
      ],
      ""dress"": [
        ""midi dress"",
        ""loose dress""
      ],
      ""skirt hems"": [
        ""tiered hem""
      ]
    }
  }
}
```"
test_123.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""shirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""three-quater sleeves"",
        ""cuffed sleeves""
      ],
      ""collar"": [
        ""band collar""
      ],
      ""hood"": [
        ""no hood""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""pants"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""cropped legs"",
        ""short legs""
      ],
      ""pant legs"": [
        ""straight legs""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""skirt hems"": [
        ""slit hem""
      ]
    }
  }
}
```"
test_124.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""jacket"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""long sleeves"",
        ""straight sleeves""
      ],
      ""collar"": [
        ""hood""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""pants"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""cropped legs""
      ],
      ""pant legs"": [
        ""straight legs""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""waistband"": [
        ""drawstring waistband""
      ],
      ""cargo pockets"": [
        ""side cargo pockets""
      ]
    }
  }
}
```"
test_131.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""shirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""long sleeves"",
        ""straight sleeves""
      ],
      ""collar"": [
        ""crew neck""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""shorts"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""short""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""skirt hems"": [
        ""slit hem""
      ]
    }
  }
}
```"
test_1362.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""top"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""sleeveless""
      ],
      ""collar"": [
        ""square neck""
      ],
      ""waist"": [
        ""mid-rise waist""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""skirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""knee-length""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""skirt hems"": [
        ""asymmetrical hem""
      ]
    }
  }
}
```"
test_14.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""jacket"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""three-quater sleeves"",
        ""loose sleeves""
      ],
      ""collar"": [
        ""stand collar""
      ],
      ""hood"": [
        ""no hood""
      ],
      ""waist"": [
        ""mid-rise waist""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""pants"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""cropped legs"",
        ""long legs""
      ],
      ""pant legs"": [
        ""straight legs""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""cuff"": [
        ""cuffed legs""
      ]
    }
  }
}
```"
test_141.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""jacket"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""three-quater sleeves"",
        ""cuffed sleeves""
      ],
      ""collar"": [
        ""stand collar""
      ],
      ""hood"": [
        ""no hood""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""shorts"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""knee-length""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""skirt hems"": [
        ""straight hem""
      ]
    }
  }
}
```"
test_143.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""jacket"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""short""
      ],
      ""sleeves"": [
        ""three-quater sleeves"",
        ""cuffed sleeves""
      ],
      ""collar"": [
        ""V-neck""
      ],
      ""hood"": [
        ""no hood""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""shorts"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""knee-length""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""skirt hems"": [
        ""straight hem""
      ]
    }
  }
}
```"
test_157.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""shirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""short sleeves""
      ],
      ""collar"": [
        ""crew neck""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""pants"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""pant legs"": [
        ""straight legs""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""waistband"": [
        ""ribbed waistband""
      ]
    }
  }
}
```"
test_19.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""shirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""short sleeves"",
        ""loose sleeves""
      ],
      ""collar"": [
        ""band collar""
      ],
      ""cuff"": [
        ""normal cuffs""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""shorts"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""knee-length""
      ],
      ""waist"": [
        ""mid-rise waist""
      ],
      ""skirt hems"": [
        ""straight hem""
      ]
    }
  }
}
```"
test_2.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""cardigan"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""normal""
      ],
      ""sleeves"": [
        ""sleeveless""
      ],
      ""collar"": [
        ""collarless""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""skirt"",
    ""geometry_styles"": {
      ""width"": [
        ""wide""
      ],
      ""length"": [
        ""knee-length""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""skirt hems"": [
        ""pleated hem""
      ]
    }
  }
}
```"
test_2082.png,"```json
{
  ""upperbody_garment"": {
    ""garment_name"": ""T-shirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""short""
      ],
      ""sleeves"": [
        ""short sleeves""
      ],
      ""collar"": [
        ""crew neck""
      ]
    }
  },
  ""lowerbody_garment"": {
    ""garment_name"": ""skirt"",
    ""geometry_styles"": {
      ""width"": [
        ""normal""
      ],
      ""length"": [
        ""short""
      ],
      ""waist"": [
        ""high waist""
      ],
      ""skirt hems"": [
        ""pleated hem""
      ]
    }
  }
}
```"
